county,fl_site_limit,tiv_2012,fl_site_deductible,point_longitude,point_granularity
CLAY COUNTY,498960,792148.9,0,-81.711777,1
CLAY COUNTY,1322376.3,1438163.57,0,-81.707664,3
CLAY COUNTY,190724.4,192476.78,0,-81.700455,1
CLAY COUNTY,0,86854.48,0,-81.707703,3
CLAY COUNTY,0,246144.49,0,-81.702675,1
CLAY COUNTY,0,884419.17,0,-81.707703,3
CLAY COUNTY,0,20610000,0,-81.713882,1
CLAY COUNTY,328500,348374.25,0,-81.707146,1
CLAY COUNTY,315000,265821.57,0,-81.704613,1
CLAY COUNTY,705600,1010842.56,0,-81.703751,1
CLAY COUNTY,831498.3,1117791.48,0,-81.719444,1
CLAY COUNTY,0,33952.19,0,-81.695099,1
CLAY COUNTY,0,66755.39,0,-81.739822,1
CLAY COUNTY,0,42826.99,0,-81.725167,1
CLAY COUNTY,0,50656.8,0,-81.726248,1
CLAY COUNTY,0,67905.07,0,-81.727463,1
CLAY COUNTY,0,66938.9,0,-81.732391,3
CLAY COUNTY,0,86421.04,0,-81.741661,1
CLAY COUNTY,0,73798.5,0,-81.745335,3
CLAY COUNTY,0,62467.29,0,-81.717416,1
CLAY COUNTY,0,42727.74,0,-81.710581,1
CLAY COUNTY,0,11700000,0,-81.711929,3
CLAY COUNTY,0,2099127.76,0,-81.711884,1
CLAY COUNTY,0,211372.57,0,-81.713181,3
CLAY COUNTY,0,157171.16,0,-81.727478,1
CLAY COUNTY,0,16948.72,0,-81.705719,1
CLAY COUNTY,0,101758.43,0,-81.71624,1
CLAY COUNTY,0,63592.88,0,-81.71624,1
CLAY COUNTY,0,662.18,0,-81.71624,1
CLAY COUNTY,0,177176.38,0,-81.71624,1
CLAY COUNTY,0,1861.41,0,-81.71624,1
CLAY COUNTY,0,101692.86,0,-81.706865,4
CLAY COUNTY,0,507164.19,0,-81.718452,1
CLAY COUNTY,0,28637.17,0,-81.718452,1
SUWANNEE COUNTY,0,10880.22,0,-82.926659,3
SUWANNEE COUNTY,0,69357.78,0,-82.926659,3
SUWANNEE COUNTY,0,12737.89,0,-82.926659,3
SUWANNEE COUNTY,218475,199030.29,0,-82.926155,3
SUWANNEE COUNTY,1400904,1772984.1,0,-82.926155,3
SUWANNEE COUNTY,4365,4438.05,0,-82.926155,3
SUWANNEE COUNTY,4365,6095.72,0,-82.926155,3
SUWANNEE COUNTY,39789,58106.58,0,-82.926155,3
SUWANNEE COUNTY,24867,18969.79,0,-82.926155,3
SUWANNEE COUNTY,213876,261435.18,0,-82.926155,3
SUWANNEE COUNTY,69435,93674.34,0,-82.92542,3
SUWANNEE COUNTY,14922,12333.03,0,-82.92542,3
SUWANNEE COUNTY,165546,239134.51,0,-82.916763,1
SUWANNEE COUNTY,72837,86637.86,0,-82.916763,1
SUWANNEE COUNTY,72837,98147.86,0,-82.916763,1
SUWANNEE COUNTY,19440,30658.59,0,-82.916763,1
SUWANNEE COUNTY,9945,11551.12,0,-82.916763,1
